"","Customer_ID","Credit_Amount","Purpose_Credit_Taken","Duration_in_Months","Status_Checking_Accnt","Credit_History","Job_Status","Years_At_Present_Employment","Marital_Status_Gender","Other_Debtors_Guarantors","Current_Address_Yrs","Age","Housing","Num_Credits","Num_Dependents","Foreign_Worker","Default_On_Payment","Dummy_Job_Status_A171","Dummy_Job_Status_A172","Dummy_Job_Status_A173","Dummy_Purpose_Credit_Taken_Low","Dummy_Purpose_Credit_Taken_High","Dummy_Status_Checking_Accnt_High","Dummy_Status_Checking_Accnt_Medium","Dummy_Credit_History_High","Dummy_Credit_History_Low","Dummy_Years_At_Present_Employment_High","Dummy_Years_At_Present_Employment_Medium","Dummy_Marital_Status_Gender","Dummy_Other_Debtors_Guarantors","Dummy_Housing","Dummy_Foreign_Worker","Dummy_Age_Group","Dummy_Credit_Amount","Dummy_Current_Address_Yrs","Predicted_Probability"
"1438","C16438",2538,"P40",24,"S14","A33","A172","E75","A93","A101",4,47,"A152",2,2,"A201",1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0.156016974968144
"3941","C18941",915,"P40",24,"S11","A32","A173","E75","A92","A101",2,29,"A152",1,1,"A201",1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0.585203389657111
"2045","C17045",2406,"P42",30,"S11","A32","A173","E74","A92","A101",4,23,"A151",1,1,"A201",1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0.708396410851398
"4413","C19413",2002,"P40",12,"S12","A32","A173","E74","A93","A101",4,30,"A151",1,2,"A201",0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0.3689044670016
"4699","C19699",2625,"P40",16,"S11","A34","A173","E75","A93","A103",4,43,"A151",1,1,"A201",1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0.240209593414718
"228","C15228",3656,"P43",30,"S13","A34","A172","E75","A93","A101",4,49,"A152",2,1,"A201",0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0.0595753570931899
"2638","C17638",1403,"P40",15,"S11","A32","A173","E73","A92","A101",4,28,"A151",1,1,"A201",0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0.595869749016442
"4456","C19456",8588,"P41",39,"S14","A32","A174","E75","A93","A101",2,45,"A152",1,1,"A201",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.143457395438027
"2753","C17753",1198,"P46",6,"S11","A31","A173","E75","A92","A101",4,35,"A153",1,1,"A201",1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0.74103901107774
"2279","C17279",7472,"P40",12,"S12","A32","A171","E71","A92","A101",2,24,"A151",1,1,"A201",0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0.54869949200642
