"","Age","Income","km$cluster"
"1",26,28000,1
"2",27,29500,1
"3",28,31000,1
"4",30,32500,1
"5",32,34000,1
"6",35,35500,1
"7",44,37000,1
"8",45,38500,1
"9",46,40000,1
"10",56,41500,1
"11",67,43000,1
"12",69,44500,1
"13",70,46000,1
"14",34,47500,1
"15",44,49000,1
"16",45,50500,1
"17",23,52000,1
"18",53,53500,1
"19",48,55000,1
"20",49,56500,1
"21",41,58000,1
"22",42,59500,1
"23",50,61000,1
"24",26,62500,1
"25",27,64000,1
"26",28,65500,2
"27",30,67000,2
"28",32,68500,2
"29",35,70000,2
"30",44,71500,2
"31",45,73000,2
"32",46,74500,2
"33",56,76000,2
"34",67,77500,2
"35",69,79000,2
"36",70,80500,2
"37",34,82000,2
"38",44,83500,2
"39",45,85000,2
"40",23,86500,2
"41",53,88000,2
"42",48,89500,2
"43",49,91000,2
"44",41,92500,2
"45",42,94000,2
"46",50,95500,2
"47",26,97000,2
"48",27,98500,2
"49",28,100000,2
"50",30,101500,2
"51",32,103000,3
"52",35,104500,3
"53",44,106000,3
"54",45,107500,3
"55",46,109000,3
"56",56,110500,3
"57",67,112000,3
"58",69,113500,3
"59",70,115000,3
"60",34,116500,3
"61",44,118000,3
"62",45,119500,3
"63",23,121000,3
"64",53,122500,3
"65",48,124000,3
"66",49,125500,3
"67",41,127000,3
"68",42,128500,3
"69",50,130000,3
"70",32,131500,3
"71",34,133000,3
"72",36,134500,3
"73",39,136000,3
"74",42,137500,3
"75",44,139000,3
"76",45,140500,4
"77",48,142000,4
"78",49,143500,4
"79",54,145000,4
"80",32,146500,4
"81",77,148000,4
"82",82,149500,4
"83",34,151000,4
"84",56,152500,4
"85",63,154000,4
"86",62,155500,4
"87",59,157000,4
"88",58,158500,4
"89",52,160000,4
"90",45,161500,4
"91",54,163000,4
"92",36,164500,4
"93",82,166000,4
"94",34,167500,4
"95",56,169000,4
"96",63,170500,4
"97",62,172000,4
"98",59,173500,4
"99",58,175000,4
"100",52,176500,4
