Month,Monthly_sales
1/1/2017,742
1/2/2017,741
1/3/2017,896
1/4/2017,951
1/5/2017,1030
1/6/2017,697
1/7/2017,700
1/8/2017,793
1/9/2017,861
1/10/2017,1032
1/11/2017,776
1/12/2017,774
2/1/2017,885
2/2/2017,938
2/3/2017,1126
2/4/2017,898
2/5/2017,932
2/6/2017,1055
2/7/2017,1109
2/8/2017,1285
2/9/2017,1030
2/10/2017,1099
2/11/2017,1204
2/12/2017,1274
3/1/2017,1468
3/2/2017,1107
3/3/2017,1223
3/4/2017,1326
3/5/2017,1422
3/6/2017,1637
3/7/2017,1165
3/8/2017,1290
3/9/2017,1303
3/10/2017,1486
3/11/2017,1611
3/12/2017,1216
4/1/2017,1349
4/2/2017,1436
4/3/2017,1555
4/4/2017,1608
4/5/2017,1208
4/6/2017,1341
4/7/2017,1473
4/8/2017,1604
4/9/2017,1528
4/10/2017,1131
4/11/2017,1296
4/12/2017,1453
5/1/2017,1600
5/2/2017,1420
5/3/2017,971
5/4/2017,1066
5/5/2017,1170
5/6/2017,1403
5/7/2017,1119
5/8/2017,783
5/9/2017,901
5/10/2017,1023
5/11/2017,1209
5/12/2017,1013
