Month,Monthly_sales
1-Jan,742
2-Jan,741
3-Jan,896
4-Jan,951
5-Jan,1030
6-Jan,697
7-Jan,700
8-Jan,793
9-Jan,861
10-Jan,1032
11-Jan,776
12-Jan,774
1-Feb,885
2-Feb,938
3-Feb,1126
4-Feb,898
5-Feb,932
6-Feb,1055
7-Feb,1109
8-Feb,1285
9-Feb,1030
10-Feb,1099
11-Feb,1204
12-Feb,1274
1-Mar,1468
2-Mar,1107
3-Mar,1223
4-Mar,1326
5-Mar,1422
6-Mar,1637
7-Mar,1165
8-Mar,1290
9-Mar,1303
10-Mar,1486
11-Mar,1611
12-Mar,1216
1-Apr,1349
2-Apr,1436
3-Apr,1555
4-Apr,1608
5-Apr,1208
6-Apr,1341
7-Apr,1473
8-Apr,1604
9-Apr,1528
10-Apr,1131
11-Apr,1296
12-Apr,1453
1-May,1600
2-May,1420
3-May,971
4-May,1066
5-May,1170
6-May,1403
7-May,1119
8-May,783
9-May,901
10-May,1023
11-May,1209
12-May,1013
